{'battery_voltage': '24.7', 'time': '8-16-54-27', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-10', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-11', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-12', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-14', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-15', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-17', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-18', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-19', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-21', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-22', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-24', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-26', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-27', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-29', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-31', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-33', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-35', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-36', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-37', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-39', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-40', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-42', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-43', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-45', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-47', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-48', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-49', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-51', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-55-52', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-55-53', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-55-54', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-55-56', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-55-57', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-55-59', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-1', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-2', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-4', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-5', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-7', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-8', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-10', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-11', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-12', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-14', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-16', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-17', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-19', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-20', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-22', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.5', 'time': '8-16-56-23', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-25', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-26', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.5', 'time': '8-16-56-28', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '19.5', 'time': '8-16-56-29', 'water_temperature': '66.4', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '23.9', 'time': '8-16-56-31', 'water_temperature': '66.3', 'oil_pressure': '6.28', 'engine_speed': '57.753', 'oil_allowance': '484'}
{'battery_voltage': '25.6', 'time': '8-16-56-32', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '218.76', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-34', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '378.55', 'oil_allowance': '488'}
{'battery_voltage': '25.7', 'time': '8-16-56-36', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '538.26', 'oil_allowance': '488'}
{'battery_voltage': '25.7', 'time': '8-16-56-37', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '698.26', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-39', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '857.75', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-40', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '960.14', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-41', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '958.04', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-43', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '958.33', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-44', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '973.98', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-46', 'water_temperature': '66.3', 'oil_pressure': '6.52', 'engine_speed': '1046.0', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-47', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1143.9', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-48', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1261.3', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-50', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1402.1', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-52', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1559.5', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-54', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1712.6', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-56-55', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1809.2', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-56-57', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1878.3', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-56-58', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1926.0', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-0', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1950.6', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-57-1', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1956.4', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-57-3', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1949.6', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-4', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1942.2', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-6', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1936.4', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-8', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1931.3', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-57-9', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1926.8', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-11', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1922.4', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-12', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1919.2', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-14', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1915.6', 'oil_allowance': '488'}
{'battery_voltage': '25.8', 'time': '8-16-57-16', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1911.8', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-17', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1907.7', 'oil_allowance': '488'}
{'battery_voltage': '25.9', 'time': '8-16-57-19', 'water_temperature': '66.3', 'oil_pressure': '6.56', 'engine_speed': '1903.0', 'oil_allowance': '488'}
