{'oil_allowance': '488', 'time': '8-16-47-48', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-22', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-23', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-25', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-27', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-29', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-31', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-33', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-35', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-37', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-38', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-39', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-41', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-43', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-45', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-46', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-48', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-49', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-51', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-53', 'oil_pressure': '5.72', 'engine_speed': '0.0', 'battery_voltage': '20.1', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-54', 'oil_pressure': '6.24', 'engine_speed': '45.362', 'battery_voltage': '23.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-55', 'oil_pressure': '6.52', 'engine_speed': '206.37', 'battery_voltage': '25.5', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-56', 'oil_pressure': '6.56', 'engine_speed': '365.43', 'battery_voltage': '25.7', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-58', 'oil_pressure': '6.56', 'engine_speed': '524.56', 'battery_voltage': '25.7', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-59', 'oil_pressure': '6.56', 'engine_speed': '682.97', 'battery_voltage': '25.8', 'water_temperature': '66.5'}
{'oil_allowance': '488', 'time': '8-16-49-0', 'oil_pressure': '6.56', 'engine_speed': '840.94', 'battery_voltage': '25.7', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-2', 'oil_pressure': '6.56', 'engine_speed': '996.08', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-3', 'oil_pressure': '6.56', 'engine_speed': '1064.7', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-4', 'oil_pressure': '6.56', 'engine_speed': '1168.4', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-6', 'oil_pressure': '6.56', 'engine_speed': '1280.6', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-8', 'oil_pressure': '6.56', 'engine_speed': '1419.8', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-49-10', 'oil_pressure': '6.56', 'engine_speed': '1573.6', 'battery_voltage': '25.8', 'water_temperature': '66.3'}
