{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-27'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-54'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-56'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-57'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-59'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-0'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-1'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-3'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-4'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-6'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-7'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-9'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-10'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-12'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-14'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-15'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-17'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-18'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-20'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-21'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-23'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-25'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-26'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-28'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-30'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-31'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-32'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-34'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-35'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-36'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-37'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-39'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-40'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-42'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-43'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-45'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-46'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-48'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-50'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-51'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-53'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-55'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-56'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-14-58'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-0'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-1'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-3'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-4'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-6'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-7'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-9'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-11'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-12'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-14'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-15'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-17'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-18'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-20'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-22'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-23'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-25'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-27'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-29'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-30'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-32'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-33'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-35'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-36'}
{'oil_pressure': '6.24', 'battery_voltage': '23.8', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-38'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-40'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-41'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-42'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-44'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-45'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-46'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-47'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-49'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-51'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-15-53'}
