{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.18', 'Number': 25736, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.12', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.82', 'Number': 25767, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.33', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.18', 'Number': 25768, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.69', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.61', 'Number': 25769, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.47', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.96', 'Number': 25770, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.47', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '4.47', 'Number': 25771, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.83', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.54', 'Number': 25772, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.26', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.18', 'Number': 25773, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25774, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25775, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.04', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.82', 'Number': 25776, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.47', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.61', 'Number': 25777, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.12', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.04', 'Number': 25778, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.83', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.96', 'Number': 25779, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.18', 'Number': 25780, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.68', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.18', 'Number': 25781, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.97', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.96', 'Number': 25782, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.68', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.03', 'Number': 25783, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.18', 'Number': 25784, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.48', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.61', 'Number': 25785, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.18', 'Number': 25786, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.04', 'Number': 25787, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.55', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.47', 'Number': 25788, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.26', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.32', 'Number': 25789, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.18', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.11', 'Number': 25790, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25791, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.12', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.03', 'Number': 25792, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25793, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.68', 'Number': 25794, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.97', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.53', 'Number': 25795, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.25', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.82', 'Number': 25796, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.54', 'Number': 25797, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.26', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.89', 'Number': 25798, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.54', 'Number': 25799, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.04', 'Number': 25800, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.69', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.47', 'Number': 25801, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.26', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.82', 'Number': 25802, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.33', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25803, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.97', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.61', 'Number': 25804, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.47', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.89', 'Number': 25805, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.25', 'Number': 25806, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.69', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.47', 'Number': 25807, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.33', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '6.32', 'Number': 25808, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.04', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.39', 'Number': 25809, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.11', 'Number': 25810, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-25', '2_oilPressure_ch': '5.75', 'Number': 25811, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.96', 'Number': 25812, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.39', 'Number': 25813, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.12', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.61', 'Number': 25814, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.26', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.96', 'Number': 25815, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.25', 'Number': 25816, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.90', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.75', 'Number': 25817, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '6.32', 'Number': 25818, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.04', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.39', 'Number': 25819, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.04', 'Number': 25820, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '3.83', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
{'7_oilPressure_ch': '0.0', '6_oilPressure_ch': '0.0', 'time': '8-16-13-26', '2_oilPressure_ch': '5.75', 'Number': 25821, '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '8_oilPressure_ch': '0.0', '1_oilPressure_ch': '0.0', '5_oilPressure_ch': '0.0'}
