{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-1', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-6', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-6', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-7', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-7', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-8', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-8', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-8', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-9', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-9', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-9', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-10', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-10', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-11', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-11', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-11', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-12', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-12', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-13', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-13', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-14', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-14', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-14', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-15', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-15', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-16', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-16', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-16', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.6'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-17', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-17', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-18', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-18', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-18', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-19', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-19', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-19', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-20', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-21', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-22', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-23', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'time': '23-16-33-3', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '488', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-10', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-15', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-21', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-25', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-30', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-36', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-41', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '488', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-47', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '488', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-52', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-33-57', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-0', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-5', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-9', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-14', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-18', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-24', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-30', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-33', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-38', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-43', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-47', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-52', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '488', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
{'time': '23-16-34-57', 'oil_pressure': '6.24', 'fluid_senven': '0.0', 'battery_voltage': '23.8', 'fluid_two': '0.0', 'fluid_five': '0.0', 'oil_allowance': '484', 'fluid_three': '0.0', 'fluid_one': '655.', 'fluid_six': '0.0', 'fluid_four': '0.0', 'fluid_eight': '0.0', 'water_temperature': '66.1', 'engine_speed': '0.0'}
