{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1519}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.53', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1535}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1536}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1537}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.45', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1538}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.10', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1539}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1540}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.12', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.03', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1541}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1542}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.47', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1543}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.45', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1544}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1545}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1546}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.33', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1547}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1548}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1549}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.68', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1550}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.10', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1551}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.89', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1552}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.68', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1553}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.76', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '6.89', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1554}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.03', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1555}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.68', '1_oilPressure_ch': '0.0', 'time': '8-16-31-13', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1556}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.24', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1557}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1558}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1559}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.11', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.03', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1560}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.10', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1561}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.53', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1562}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.95', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1563}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1564}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1565}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.89', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1566}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.24', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1567}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.68', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.45', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1568}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.10', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1569}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1570}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1571}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1572}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1573}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1574}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.11', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1575}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1576}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1577}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '5.96', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1578}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.45', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1579}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1580}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.24', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1581}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.53', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1582}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1583}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.40', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.53', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1584}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.47', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.53', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1585}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1586}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.39', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.31', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1587}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1588}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1589}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.89', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1590}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.31', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1591}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1592}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.68', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.38', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1593}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1594}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.83', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.82', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1595}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1596}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.31', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1597}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.60', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1598}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.32', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.96', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1599}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.90', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.96', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1600}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.61', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '6.46', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1601}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.17', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1602}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '4.97', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.10', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1603}
{'5_oilPressure_ch': '0.0', '4_oilPressure_ch': '0.0', '3_oilPressure_ch': '5.54', '1_oilPressure_ch': '0.0', 'time': '8-16-31-14', '2_oilPressure_ch': '7.67', '6_oilPressure_ch': '0.0', '8_oilPressure_ch': '0.0', '7_oilPressure_ch': '0.0', 'Number': 1604}
